Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA1 (EN) by IRSAD Deciles at SA1 Level (Area)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"IRSAD Deciles at SA1 Level (Area)","Decile 1","Decile 2","Decile 3","Decile 4","Decile 5","Decile 6","Decile 7","Decile 8","Decile 9","Decile 10","Total",
"SA1 (EN)",
"50301103531",0,0,0,0,0,0,0,0,0,142,142,
"50301103532",0,0,0,0,0,0,0,0,0,221,221,
"50301103533",0,0,0,0,0,0,0,0,0,303,303,
"50301103534",0,0,0,0,0,0,0,123,0,0,123,
"50301103535",0,0,0,0,0,0,0,0,0,233,233,
"50301103536",0,0,0,0,0,0,0,0,0,199,199,
"50301103537",0,0,0,0,0,0,0,0,0,139,139,
"50301103538",0,0,0,0,0,0,0,0,0,197,197,
"50301103539",0,0,0,0,0,0,0,0,218,0,218,
"50301103540",0,0,0,0,0,0,0,0,0,180,180,
"50301103541",0,0,0,0,0,0,0,0,0,161,161,
"50301103601",0,0,0,0,0,0,0,0,0,0,0,
"50301103602",0,0,0,0,0,0,0,0,0,211,211,
"50301103603",0,0,0,0,0,0,0,0,0,153,153,
"50301103604",0,0,0,0,0,0,0,0,0,94,94,
"50301103605",0,0,0,0,0,0,0,0,174,0,174,
"50301103606",0,0,0,0,0,0,0,0,234,0,234,
"50301103607",0,0,0,0,0,0,0,0,0,0,0,
"50301103608",0,0,0,0,0,0,0,0,0,124,124,
"50301103609",0,0,0,0,0,0,0,0,0,203,203,
"50301103610",0,0,0,0,0,0,0,0,0,92,92,
"50301103611",0,0,0,0,0,0,0,0,0,381,381,
"50301103612",0,0,0,0,0,0,0,0,0,230,230,
"50301103613",0,0,0,0,0,0,0,0,0,106,106,
"50301103614",0,0,0,0,0,0,0,0,0,189,189,
"50301103615",0,0,0,0,0,0,0,0,66,0,66,
"50301103616",0,0,0,0,0,0,0,0,0,155,155,
"50301103617",0,0,0,0,0,0,0,0,0,183,183,
"50301103618",0,0,0,0,0,0,0,0,0,140,140,
"50301103619",0,0,0,0,0,0,0,0,265,0,265,
"50301103620",0,0,0,0,0,0,0,0,0,135,135,
"50301103621",0,0,0,0,0,0,0,151,0,0,151,
"50301103622",0,0,0,0,0,0,0,0,0,0,0,
"50301103623",0,0,0,0,0,0,0,0,180,0,180,
"50301103624",0,0,0,0,0,0,0,0,175,0,175,
"50301103625",0,0,0,0,0,0,0,0,0,0,0,
"50302103701",0,0,0,0,0,0,0,0,0,32,32,
"50302103801",0,0,0,0,0,0,0,0,185,0,185,
"50302103802",0,0,0,0,0,0,271,0,0,0,271,
"50302103803",0,0,0,0,0,0,0,0,252,0,252,
"50302103804",0,0,0,0,0,0,0,0,0,139,139,
"50302103805",0,0,0,0,0,0,0,0,0,176,176,
"50302103806",0,0,0,0,0,0,0,0,371,0,371,
"50302103807",0,0,0,0,0,0,0,0,242,0,242,
"50302103808",0,0,0,0,0,0,0,0,284,0,284,
"50302103809",0,0,0,0,0,0,0,269,0,0,269,
"50302103810",0,0,0,0,0,0,0,0,201,0,201,
"50302103811",0,0,0,0,0,0,0,0,207,0,207,
"50302103812",0,0,0,0,0,0,0,0,0,0,0,
"50302103813",0,0,0,0,0,0,0,0,0,211,211,
"50302103814",0,0,0,0,0,0,166,0,0,0,166,
"50302103815",0,0,0,0,0,0,0,0,0,141,141,
"50302103816",0,0,0,0,0,0,0,0,0,108,108,
"50302103817",0,0,0,0,0,0,0,0,0,241,241,
"50302103818",0,0,0,0,0,0,0,0,0,124,124,
"50302103819",0,0,0,0,0,0,0,0,102,0,102,
"50302103820",0,0,0,0,0,0,0,0,0,151,151,
"50302103821",0,0,0,0,0,0,0,0,0,101,101,
"50302103822",0,0,0,0,0,0,0,0,0,248,248,
"50302103823",0,0,0,0,0,0,0,0,119,0,119,
"50302103824",0,0,0,0,0,0,0,0,168,0,168,
"50302103825",0,0,0,0,0,0,0,0,123,0,123,
"50302103826",0,0,0,0,0,0,0,0,291,0,291,
"50302103827",0,0,0,0,0,0,0,0,131,0,131,
"50302103828",0,0,0,0,0,0,0,0,0,198,198,
"50302103901",0,0,0,0,0,0,0,110,0,0,110,
"50302103902",0,0,0,0,0,0,0,0,0,187,187,
"50302103903",0,0,0,0,0,0,0,0,254,0,254,
"50302103904",0,0,0,0,0,0,0,0,0,0,0,
"50302103905",0,0,0,0,0,0,0,245,0,0,245,
"50302103906",0,0,0,0,0,0,0,176,0,0,176,
"50302103907",0,0,0,0,0,0,0,0,165,0,165,
